título,autor,género,puntuación
"Cien años de soledad","Gabriel García Márquez",Ficción,4.5
1984,"George Orwell",Ficción,4.3
"El Hobbit","J.R.R Tolkien",Fantasía,4.7
"Orgullo y prejuicio","Jane Austen",Romance,4.2
"Crimen y castigo","Fiódor Dostoyevski",Clásico,4.4
"Los juegos del hambre","Suzanne Collins",Juvenil,4.1
"Don Quijote de la Mancha","Migue Cervantes",Clásico,4.6
"Harry Potter y la Piedra filosofal","J.K Rowling",Fantasía,4.8
"Los pilares de la tierra","Ken Follet",Histórica,4.4
"Cazadores de sombras: Ciudad de Hueso","Cassandra Clare",Fantasía,4.0